Dataset,Method,N_Features,Classifier,Fold,MCC,F1,Sensitivity,Specificity,Balanced_Accuracy,Accuracy
baseline,mRMR,10,RandomForest,1,0.41536110022181316,0.8169014084507042,0.7631578947368421,0.6923076923076923,0.7277327935222673,0.7450980392156863
baseline,mRMR,10,RandomForest_TUNED,1,0.41536110022181316,0.8169014084507042,0.7631578947368421,0.6923076923076923,0.7277327935222673,0.7450980392156863
baseline,mRMR,10,NeuralNetwork,1,0.5729469132063221,0.8571428571428572,0.7894736842105263,0.8461538461538461,0.8178137651821862,0.803921568627451
baseline,mRMR,10,NeuralNetwork_TUNED,1,0.5408420485294111,0.861111111111111,0.8157894736842105,0.7692307692307693,0.7925101214574899,0.803921568627451
baseline,mRMR,10,NaiveBayes,1,0.5438851189301883,0.8405797101449276,0.7631578947368421,0.8461538461538461,0.8046558704453441,0.7843137254901961
baseline,mRMR,10,LogisticRegression,1,0.5064793509296248,0.78125,0.6578947368421053,0.9230769230769231,0.7904858299595142,0.7254901960784313
baseline,mRMR,10,AdaBoost,1,0.2674252412015544,0.7536231884057972,0.6842105263157895,0.6153846153846154,0.6497975708502024,0.6666666666666666
baseline,mRMR,10,AdaBoost_TUNED,1,0.21731315491152986,0.716417910447761,0.631578947368421,0.6153846153846154,0.6234817813765182,0.6274509803921569
baseline,mRMR,10,SVM_RBF,1,0.4517318263539771,0.8115942028985507,0.7368421052631579,0.7692307692307693,0.7530364372469636,0.7450980392156863
baseline,mRMR,10,SVM_RBF_TUNED,1,0.42044095640556883,0.8780487804878049,0.9473684210526315,0.38461538461538464,0.6659919028340081,0.803921568627451
baseline,mRMR,20,RandomForest,1,0.4798886566027475,0.8285714285714286,0.7631578947368421,0.7692307692307693,0.7661943319838057,0.7647058823529411
baseline,mRMR,20,RandomForest_TUNED,1,0.5438851189301883,0.8405797101449276,0.7631578947368421,0.8461538461538461,0.8046558704453441,0.7843137254901961
baseline,mRMR,20,NeuralNetwork,1,0.4467659691368385,0.8533333333333334,0.8421052631578947,0.6153846153846154,0.728744939271255,0.7843137254901961
baseline,mRMR,20,NeuralNetwork_TUNED,1,0.4180321236831189,0.8571428571428572,0.868421052631579,0.5384615384615384,0.7034412955465588,0.7843137254901961
baseline,mRMR,20,NaiveBayes,1,0.5111443592620367,0.8648648648648649,0.8421052631578947,0.6923076923076923,0.7672064777327935,0.803921568627451
baseline,mRMR,20,LogisticRegression,1,0.39900120246051385,0.7761194029850746,0.6842105263157895,0.7692307692307693,0.7267206477732794,0.7058823529411765
baseline,mRMR,20,AdaBoost,1,0.4798886566027475,0.8285714285714286,0.7631578947368421,0.7692307692307693,0.7661943319838057,0.7647058823529411
baseline,mRMR,20,AdaBoost_TUNED,1,0.47721735962610745,0.8493150684931505,0.8157894736842105,0.6923076923076923,0.7540485829959513,0.7843137254901961
baseline,mRMR,20,SVM_RBF,1,0.44539933408304444,0.8333333333333333,0.7894736842105263,0.6923076923076923,0.7408906882591093,0.7647058823529411
baseline,mRMR,20,SVM_RBF_TUNED,1,0.4590119166637268,0.8717948717948718,0.8947368421052632,0.5384615384615384,0.7165991902834008,0.803921568627451
baseline,mRMR,30,RandomForest,1,0.44539933408304444,0.8333333333333333,0.7894736842105263,0.6923076923076923,0.7408906882591093,0.7647058823529411
