Dataset,Method,N_Features,Classifier,Fold,MCC,F1,Sensitivity,Specificity,Balanced_Accuracy,Accuracy
female,mRMR,10,RandomForest,1,0.4218307438660538,0.787878787878788,0.7647058823529411,0.6666666666666666,0.7156862745098038,0.7307692307692307
female,mRMR,10,RandomForest_TUNED,1,0.4218307438660538,0.787878787878788,0.7647058823529411,0.6666666666666666,0.7156862745098038,0.7307692307692307
female,mRMR,10,NeuralNetwork,1,0.4615633996151572,0.7741935483870968,0.7058823529411765,0.7777777777777778,0.7418300653594772,0.7307692307692307
female,mRMR,10,NeuralNetwork_TUNED,1,0.4615633996151572,0.7741935483870968,0.7058823529411765,0.7777777777777778,0.7418300653594772,0.7307692307692307
female,mRMR,10,NaiveBayes,1,0.3587460832234465,0.7500000000000001,0.7058823529411765,0.6666666666666666,0.6862745098039216,0.6923076923076923
female,mRMR,10,LogisticRegression,1,0.522384647500808,0.8125,0.7647058823529411,0.7777777777777778,0.7712418300653594,0.7692307692307693
female,mRMR,10,AdaBoost,1,0.522384647500808,0.8125,0.7647058823529411,0.7777777777777778,0.7712418300653594,0.7692307692307693
female,mRMR,10,AdaBoost_TUNED,1,0.522384647500808,0.8125,0.7647058823529411,0.7777777777777778,0.7712418300653594,0.7692307692307693
female,mRMR,10,SVM_RBF,1,0.522384647500808,0.8125,0.7647058823529411,0.7777777777777778,0.7712418300653594,0.7692307692307693
female,mRMR,10,SVM_RBF_TUNED,1,0.17712297710801908,0.7567567567567567,0.8235294117647058,0.3333333333333333,0.5784313725490196,0.6538461538461539
female,mRMR,20,RandomForest,1,0.4218307438660538,0.787878787878788,0.7647058823529411,0.6666666666666666,0.7156862745098038,0.7307692307692307
female,mRMR,20,RandomForest_TUNED,1,0.4218307438660538,0.787878787878788,0.7647058823529411,0.6666666666666666,0.7156862745098038,0.7307692307692307
female,mRMR,20,NeuralNetwork,1,0.46968129716874873,0.8333333333333333,0.8823529411764706,0.5555555555555556,0.7189542483660131,0.7692307692307693
female,mRMR,20,NeuralNetwork_TUNED,1,0.3907518403363142,0.7999999999999999,0.8235294117647058,0.5555555555555556,0.6895424836601307,0.7307692307692307
female,mRMR,20,NaiveBayes,1,0.3587460832234465,0.7500000000000001,0.7058823529411765,0.6666666666666666,0.6862745098039216,0.6923076923076923
female,mRMR,20,LogisticRegression,1,0.6860232117781695,0.8749999999999999,0.8235294117647058,0.8888888888888888,0.8562091503267973,0.8461538461538461
female,mRMR,20,AdaBoost,1,0.49019607843137253,0.8235294117647058,0.8235294117647058,0.6666666666666666,0.7450980392156863,0.7692307692307693
female,mRMR,20,AdaBoost_TUNED,1,0.49019607843137253,0.8235294117647058,0.8235294117647058,0.6666666666666666,0.7450980392156863,0.7692307692307693
female,mRMR,20,SVM_RBF,1,0.670623180135797,0.8947368421052632,1.0,0.5555555555555556,0.7777777777777778,0.8461538461538461
female,mRMR,20,SVM_RBF_TUNED,1,0.5860327153276884,0.8717948717948718,1.0,0.4444444444444444,0.7222222222222222,0.8076923076923077
female,mRMR,30,RandomForest,1,0.3587460832234465,0.7500000000000001,0.7058823529411765,0.6666666666666666,0.6862745098039216,0.6923076923076923
female,mRMR,30,RandomForest_TUNED,1,0.3587460832234465,0.7500000000000001,0.7058823529411765,0.6666666666666666,0.6862745098039216,0.6923076923076923
female,mRMR,30,NeuralNetwork,1,0.5608894275087271,0.8648648648648648,0.9411764705882353,0.5555555555555556,0.7483660130718954,0.8076923076923077
female,mRMR,30,NeuralNetwork_TUNED,1,0.5659164584181102,0.8571428571428571,0.8823529411764706,0.6666666666666666,0.7745098039215685,0.8076923076923077
female,mRMR,30,NaiveBayes,1,0.3587460832234465,0.7500000000000001,0.7058823529411765,0.6666666666666666,0.6862745098039216,0.6923076923076923
female,mRMR,30,LogisticRegression,1,0.6601307189542484,0.8823529411764706,0.8823529411764706,0.7777777777777778,0.8300653594771241,0.8461538461538461
female,mRMR,30,AdaBoost,1,0.2556549962824568,0.7272727272727272,0.7058823529411765,0.5555555555555556,0.630718954248366,0.6538461538461539
female,mRMR,30,AdaBoost_TUNED,1,0.3907518403363142,0.7999999999999999,0.8235294117647058,0.5555555555555556,0.6895424836601307,0.7307692307692307
female,mRMR,30,SVM_RBF,1,0.670623180135797,0.8947368421052632,1.0,0.5555555555555556,0.7777777777777778,0.8461538461538461
female,mRMR,30,SVM_RBF_TUNED,1,0.46549138385896505,0.8421052631578947,0.9411764705882353,0.4444444444444444,0.6928104575163399,0.7692307692307693
female,mRMR,40,RandomForest,1,0.4218307438660538,0.787878787878788,0.7647058823529411,0.6666666666666666,0.7156862745098038,0.7307692307692307
female,mRMR,40,RandomForest_TUNED,1,0.4218307438660538,0.787878787878788,0.7647058823529411,0.6666666666666666,0.7156862745098038,0.7307692307692307
female,mRMR,40,NeuralNetwork,1,0.5608894275087271,0.8648648648648648,0.9411764705882353,0.5555555555555556,0.7483660130718954,0.8076923076923077
female,mRMR,40,NeuralNetwork_TUNED,1,0.49019607843137253,0.8235294117647058,0.8235294117647058,0.6666666666666666,0.7450980392156863,0.7692307692307693
female,mRMR,40,NaiveBayes,1,0.3587460832234465,0.7500000000000001,0.7058823529411765,0.6666666666666666,0.6862745098039216,0.6923076923076923
female,mRMR,40,LogisticRegression,1,0.3907518403363142,0.7999999999999999,0.8235294117647058,0.5555555555555556,0.6895424836601307,0.7307692307692307
female,mRMR,40,AdaBoost,1,0.49019607843137253,0.8235294117647058,0.8235294117647058,0.6666666666666666,0.7450980392156863,0.7692307692307693
female,mRMR,40,AdaBoost_TUNED,1,0.4218307438660538,0.787878787878788,0.7647058823529411,0.6666666666666666,0.7156862745098038,0.7307692307692307
female,mRMR,40,SVM_RBF,1,0.670623180135797,0.8947368421052632,1.0,0.5555555555555556,0.7777777777777778,0.8461538461538461
female,mRMR,40,SVM_RBF_TUNED,1,0.670623180135797,0.8947368421052632,1.0,0.5555555555555556,0.7777777777777778,0.8461538461538461
female,mRMR,50,RandomForest,1,0.522384647500808,0.8125,0.7647058823529411,0.7777777777777778,0.7712418300653594,0.7692307692307693
