Dataset,Method,N_Features,Feature,MeanAbsSHAP,StdAbsSHAP
baseline,Boruta,10,tqwt_TKEO_std_dec_12 (TQWT),0.07231372549019607,0.04673066938271173
baseline,Boruta,10,tqwt_energy_dec_26 (TQWT),0.04941503267973856,0.03650611839714757
baseline,Boruta,10,std_delta_delta_log_energy (MFCC),0.048480820105820104,0.0461022095228415
baseline,Boruta,10,tqwt_TKEO_mean_dec_12 (TQWT),0.04480337690631808,0.032147971738816915
baseline,Boruta,10,tqwt_entropy_log_dec_35 (TQWT),0.03718111111111111,0.0398331060464843
baseline,Boruta,10,std_6th_delta_delta (MFCC),0.034288359788359785,0.02415990005929128
baseline,Boruta,10,tqwt_energy_dec_27 (TQWT),0.033656862745098035,0.03348778490802423
baseline,Boruta,10,tqwt_TKEO_std_dec_11 (TQWT),0.033068888888888884,0.039500192028279334
baseline,Boruta,10,tqwt_entropy_shannon_dec_12 (TQWT),0.031054466230936807,0.03006499313418168
baseline,Boruta,10,tqwt_stdValue_dec_12 (TQWT),0.029184095860566448,0.023877077413360617
baseline,Boruta,10,std_delta_log_energy (MFCC),0.028860229276895945,0.028120452252494387
baseline,Boruta,10,std_8th_delta_delta (MFCC),0.028636111111111116,0.021090625083939885
baseline,Boruta,10,std_9th_delta_delta (MFCC),0.02758883388338834,0.022526090209477715
baseline,Boruta,10,std_11th_delta_delta (MFCC),0.027064270152505444,0.023801514800365846
baseline,Boruta,10,std_7th_delta_delta (MFCC),0.0268117744610282,0.015779382803858842
baseline,Boruta,10,tqwt_entropy_log_dec_34 (TQWT),0.023236666666666666,0.02641222480104788
baseline,Boruta,10,std_6th_delta (MFCC),0.023029629629629633,0.0191341526901408
baseline,Boruta,10,mean_MFCC_2nd_coef (MFCC),0.022629999999999997,0.035080209944553
baseline,Boruta,10,apq11Shimmer (Baseline),0.02224618736383443,0.01557797408745252
baseline,Boruta,10,std_8th_delta (MFCC),0.01722108843537415,0.012442931573530876
baseline,Boruta,10,std_10th_delta_delta (MFCC),0.015857298474945533,0.01348602832212693
baseline,Boruta,10,std_7th_delta (MFCC),0.01560116086235489,0.012832441345412664
baseline,Boruta,10,std_11th_delta (MFCC),0.01548474945533769,0.01406703042003287
baseline,Boruta,10,std_9th_delta (MFCC),0.011245000000000002,0.009580453641307605
baseline_male,Boruta,10,tqwt_energy_dec_26 (TQWT),0.042899999999999994,0.03589279949454424
baseline_male,Boruta,10,std_delta_delta_log_energy (MFCC),0.04143846153846154,0.04398419715596843
baseline_male,Boruta,10,tqwt_TKEO_std_dec_12 (TQWT),0.034741545893719805,0.06036343859608809
baseline_male,Boruta,10,tqwt_entropy_log_dec_35 (TQWT),0.033680555555555554,0.026443442909849083
baseline_male,Boruta,10,std_6th_delta_delta (MFCC),0.03186709401709401,0.02341866054299036
baseline_male,Boruta,10,tqwt_energy_dec_27 (TQWT),0.03184761904761905,0.03549613342887487
baseline_male,Boruta,10,tqwt_TKEO_std_dec_11 (TQWT),0.030581018518518514,0.043292315301982
