Model configuration,FS method,N features,Classifier,CF Actual,Predicted HC,Predicted PD
Baseline (pooled; sex excluded),Boruta,100,NeuralNetwork,Actual,Predicted HC,Predicted PD
,,,,HC,38,26
,,,,PD,11,177
,,,,,,
"Baseline model, male outputs",Boruta,100,NeuralNetwork,Actual,Predicted HC,Predicted PD
,,,,HC,12,11
,,,,PD,6,101
,,,,,,
"Baseline model, female outputs",Boruta,100,NeuralNetwork,Actual,Predicted HC,Predicted PD
,,,,HC,26,15
,,,,PD,5,76
,,,,,,
Sex-aware (pooled; sex included),Boruta,80,RandomForest,Actual,Predicted HC,Predicted PD
,,,,HC,43,21
,,,,PD,19,169
,,,,,,
Male-only model,mRMR,20,AdaBoost_TUNED,Actual,Predicted HC,Predicted PD
,,,,HC,12,11
,,,,PD,8,99
,,,,,,
,,,,,,
Female-only model,mRMR,10,RandomForest_TUNED,Actual,Predicted HC,Predicted PD
,,,,HC,33,8
,,,,PD,14,67
