Dataset,Method,N_Features,Classifier,Fold,MCC,F1,Sensitivity,Specificity,Balanced_Accuracy,Accuracy
male,mRMR,10,RandomForest,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,10,RandomForest_TUNED,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,10,NeuralNetwork,1,0.3379781783072063,0.888888888888889,0.9090909090909091,0.4,0.6545454545454545,0.8148148148148148
male,mRMR,10,NeuralNetwork_TUNED,1,0.2636363636363636,0.8636363636363636,0.8636363636363636,0.4,0.6318181818181818,0.7777777777777778
male,mRMR,10,NaiveBayes,1,0.13483997249264842,0.8695652173913043,0.9090909090909091,0.2,0.5545454545454546,0.7777777777777778
male,mRMR,10,LogisticRegression,1,0.4332001127219817,0.8837209302325582,0.8636363636363636,0.6,0.7318181818181818,0.8148148148148148
male,mRMR,10,AdaBoost,1,0.3379781783072063,0.888888888888889,0.9090909090909091,0.4,0.6545454545454545,0.8148148148148148
male,mRMR,10,AdaBoost_TUNED,1,0.3379781783072063,0.888888888888889,0.9090909090909091,0.4,0.6545454545454545,0.8148148148148148
male,mRMR,10,SVM_RBF,1,0.6063726140217525,0.9333333333333332,0.9545454545454546,0.6,0.7772727272727273,0.8888888888888888
male,mRMR,10,SVM_RBF_TUNED,1,0.41137667560372115,0.9166666666666666,1.0,0.2,0.6,0.8518518518518519
male,mRMR,20,RandomForest,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,20,RandomForest_TUNED,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,20,NeuralNetwork,1,0.509090909090909,0.9090909090909091,0.9090909090909091,0.6,0.7545454545454545,0.8518518518518519
male,mRMR,20,NeuralNetwork_TUNED,1,0.6063726140217525,0.9333333333333332,0.9545454545454546,0.6,0.7772727272727273,0.8888888888888888
male,mRMR,20,NaiveBayes,1,0.3379781783072063,0.888888888888889,0.9090909090909091,0.4,0.6545454545454545,0.8148148148148148
male,mRMR,20,LogisticRegression,1,0.37067856345167494,0.8571428571428572,0.8181818181818182,0.6,0.7090909090909091,0.7777777777777778
male,mRMR,20,AdaBoost,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,20,AdaBoost_TUNED,1,0.6063726140217525,0.9333333333333332,0.9545454545454546,0.6,0.7772727272727273,0.8888888888888888
male,mRMR,20,SVM_RBF,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,20,SVM_RBF_TUNED,1,-0.09349469900084571,0.875,0.9545454545454546,0.0,0.4772727272727273,0.7777777777777778
male,mRMR,30,RandomForest,1,0.6063726140217525,0.9333333333333332,0.9545454545454546,0.6,0.7772727272727273,0.8888888888888888
male,mRMR,30,RandomForest_TUNED,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,30,NeuralNetwork,1,0.3379781783072063,0.888888888888889,0.9090909090909091,0.4,0.6545454545454545,0.8148148148148148
male,mRMR,30,NeuralNetwork_TUNED,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,30,NaiveBayes,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,30,LogisticRegression,1,0.3170777152559948,0.8292682926829269,0.7727272727272727,0.6,0.6863636363636363,0.7407407407407407
male,mRMR,30,AdaBoost,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,30,AdaBoost_TUNED,1,0.3379781783072063,0.888888888888889,0.9090909090909091,0.4,0.6545454545454545,0.8148148148148148
male,mRMR,30,SVM_RBF,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,30,SVM_RBF_TUNED,1,-0.09349469900084571,0.875,0.9545454545454546,0.0,0.4772727272727273,0.7777777777777778
male,mRMR,40,RandomForest,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,40,RandomForest_TUNED,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,40,NeuralNetwork,1,0.6063726140217525,0.9333333333333332,0.9545454545454546,0.6,0.7772727272727273,0.8888888888888888
male,mRMR,40,NeuralNetwork_TUNED,1,0.7416198487095663,0.9565217391304348,1.0,0.6,0.8,0.9259259259259259
male,mRMR,40,NaiveBayes,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,40,LogisticRegression,1,0.4332001127219817,0.8837209302325582,0.8636363636363636,0.6,0.7318181818181818,0.8148148148148148
male,mRMR,40,AdaBoost,1,0.6063726140217525,0.9333333333333332,0.9545454545454546,0.6,0.7772727272727273,0.8888888888888888
male,mRMR,40,AdaBoost_TUNED,1,0.6063726140217525,0.9333333333333332,0.9545454545454546,0.6,0.7772727272727273,0.8888888888888888
male,mRMR,40,SVM_RBF,1,0.593295878967653,0.9361702127659575,1.0,0.4,0.7,0.8888888888888888
male,mRMR,40,SVM_RBF_TUNED,1,0.593295878967653,0.9361702127659575,1.0,0.4,0.7,0.8888888888888888
male,mRMR,50,RandomForest,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,50,RandomForest_TUNED,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,50,NeuralNetwork,1,0.6063726140217525,0.9333333333333332,0.9545454545454546,0.6,0.7772727272727273,0.8888888888888888
male,mRMR,50,NeuralNetwork_TUNED,1,0.6063726140217525,0.9333333333333332,0.9545454545454546,0.6,0.7772727272727273,0.8888888888888888
male,mRMR,50,NaiveBayes,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,50,LogisticRegression,1,0.509090909090909,0.9090909090909091,0.9090909090909091,0.6,0.7545454545454545,0.8518518518518519
male,mRMR,50,AdaBoost,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,50,AdaBoost_TUNED,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,50,SVM_RBF,1,0.593295878967653,0.9361702127659575,1.0,0.4,0.7,0.8888888888888888
male,mRMR,50,SVM_RBF_TUNED,1,0.7416198487095663,0.9565217391304348,1.0,0.6,0.8,0.9259259259259259
male,mRMR,60,RandomForest,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,60,RandomForest_TUNED,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,60,NeuralNetwork,1,0.6063726140217525,0.9333333333333332,0.9545454545454546,0.6,0.7772727272727273,0.8888888888888888
male,mRMR,60,NeuralNetwork_TUNED,1,0.7416198487095663,0.9565217391304348,1.0,0.6,0.8,0.9259259259259259
male,mRMR,60,NaiveBayes,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,60,LogisticRegression,1,0.593295878967653,0.9361702127659575,1.0,0.4,0.7,0.8888888888888888
male,mRMR,60,AdaBoost,1,0.6063726140217525,0.9333333333333332,0.9545454545454546,0.6,0.7772727272727273,0.8888888888888888
male,mRMR,60,AdaBoost_TUNED,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,60,SVM_RBF,1,0.41137667560372115,0.9166666666666666,1.0,0.2,0.6,0.8518518518518519
male,mRMR,60,SVM_RBF_TUNED,1,0.7416198487095663,0.9565217391304348,1.0,0.6,0.8,0.9259259259259259
male,mRMR,70,RandomForest,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,70,RandomForest_TUNED,1,0.6063726140217525,0.9333333333333332,0.9545454545454546,0.6,0.7772727272727273,0.8888888888888888
male,mRMR,70,NeuralNetwork,1,0.7416198487095663,0.9565217391304348,1.0,0.6,0.8,0.9259259259259259
male,mRMR,70,NeuralNetwork_TUNED,1,0.6063726140217525,0.9333333333333332,0.9545454545454546,0.6,0.7772727272727273,0.8888888888888888
male,mRMR,70,NaiveBayes,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,70,LogisticRegression,1,-0.09349469900084571,0.875,0.9545454545454546,0.0,0.4772727272727273,0.7777777777777778
male,mRMR,70,AdaBoost,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,70,AdaBoost_TUNED,1,0.3379781783072063,0.888888888888889,0.9090909090909091,0.4,0.6545454545454545,0.8148148148148148
male,mRMR,70,SVM_RBF,1,0.41137667560372115,0.9166666666666666,1.0,0.2,0.6,0.8518518518518519
male,mRMR,70,SVM_RBF_TUNED,1,0.7416198487095663,0.9565217391304348,1.0,0.6,0.8,0.9259259259259259
male,mRMR,80,RandomForest,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,80,RandomForest_TUNED,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,80,NeuralNetwork,1,0.593295878967653,0.9361702127659575,1.0,0.4,0.7,0.8888888888888888
male,mRMR,80,NeuralNetwork_TUNED,1,0.7416198487095663,0.9565217391304348,1.0,0.6,0.8,0.9259259259259259
male,mRMR,80,NaiveBayes,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,80,LogisticRegression,1,0.0,0.8979591836734693,1.0,0.0,0.5,0.8148148148148148
male,mRMR,80,AdaBoost,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,80,AdaBoost_TUNED,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,80,SVM_RBF,1,0.41137667560372115,0.9166666666666666,1.0,0.2,0.6,0.8518518518518519
male,mRMR,80,SVM_RBF_TUNED,1,0.41137667560372115,0.9166666666666666,1.0,0.2,0.6,0.8518518518518519
male,mRMR,90,RandomForest,1,0.6063726140217525,0.9333333333333332,0.9545454545454546,0.6,0.7772727272727273,0.8888888888888888
male,mRMR,90,RandomForest_TUNED,1,0.6063726140217525,0.9333333333333332,0.9545454545454546,0.6,0.7772727272727273,0.8888888888888888
male,mRMR,90,NeuralNetwork,1,0.593295878967653,0.9361702127659575,1.0,0.4,0.7,0.8888888888888888
male,mRMR,90,NeuralNetwork_TUNED,1,0.593295878967653,0.9361702127659575,1.0,0.4,0.7,0.8888888888888888
male,mRMR,90,NaiveBayes,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,90,LogisticRegression,1,0.6063726140217525,0.9333333333333332,0.9545454545454546,0.6,0.7772727272727273,0.8888888888888888
male,mRMR,90,AdaBoost,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,90,AdaBoost_TUNED,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,90,SVM_RBF,1,0.41137667560372115,0.9166666666666666,1.0,0.2,0.6,0.8518518518518519
male,mRMR,90,SVM_RBF_TUNED,1,0.41137667560372115,0.9166666666666666,1.0,0.2,0.6,0.8518518518518519
male,mRMR,100,RandomForest,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,100,RandomForest_TUNED,1,0.6063726140217525,0.9333333333333332,0.9545454545454546,0.6,0.7772727272727273,0.8888888888888888
male,mRMR,100,NeuralNetwork,1,0.7416198487095663,0.9565217391304348,1.0,0.6,0.8,0.9259259259259259
male,mRMR,100,NeuralNetwork_TUNED,1,0.593295878967653,0.9361702127659575,1.0,0.4,0.7,0.8888888888888888
male,mRMR,100,NaiveBayes,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,100,LogisticRegression,1,0.2292279532375023,0.8936170212765958,0.9545454545454546,0.2,0.5772727272727273,0.8148148148148148
male,mRMR,100,AdaBoost,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,100,AdaBoost_TUNED,1,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,100,SVM_RBF,1,0.0,0.8979591836734693,1.0,0.0,0.5,0.8148148148148148
male,mRMR,100,SVM_RBF_TUNED,1,0.41137667560372115,0.9166666666666666,1.0,0.2,0.6,0.8518518518518519
male,Boruta,10,RandomForest,1,0.2292279532375023,0.8936170212765958,0.9545454545454546,0.2,0.5772727272727273,0.8148148148148148
male,Boruta,10,RandomForest_TUNED,1,0.2292279532375023,0.8936170212765958,0.9545454545454546,0.2,0.5772727272727273,0.8148148148148148
