Dataset,Method,N_Features,Classifier,Fold,MCC,F1,Sensitivity,Specificity,Balanced_Accuracy,Accuracy
baseline_female,mRMR,10,RandomForest,1,0.6333004963811236,0.8484848484848485,0.875,0.75,0.8125,0.8214285714285714
baseline_female,mRMR,10,RandomForest_TUNED,1,0.5625,0.8125,0.8125,0.75,0.78125,0.7857142857142857
baseline_female,mRMR,10,NeuralNetwork,1,0.7855533190649869,0.9032258064516129,0.875,0.9166666666666666,0.8958333333333333,0.8928571428571429
baseline_female,mRMR,10,NeuralNetwork_TUNED,1,0.7083333333333334,0.875,0.875,0.8333333333333334,0.8541666666666667,0.8571428571428571
baseline_female,mRMR,10,NaiveBayes,1,0.6615185844757785,0.8275862068965517,0.75,0.9166666666666666,0.8333333333333333,0.8214285714285714
baseline_female,mRMR,10,LogisticRegression,1,0.696630546019236,0.8148148148148148,0.6875,1.0,0.84375,0.8214285714285714
baseline_female,mRMR,10,AdaBoost,1,0.35143174800275734,0.7096774193548386,0.6875,0.6666666666666666,0.6770833333333333,0.6785714285714286
baseline_female,mRMR,10,AdaBoost_TUNED,1,0.28867513459481287,0.6666666666666666,0.625,0.6666666666666666,0.6458333333333333,0.6428571428571429
baseline_female,mRMR,10,SVM_RBF,1,0.5773502691896257,0.7999999999999999,0.75,0.8333333333333334,0.7916666666666667,0.7857142857142857
baseline_female,mRMR,10,SVM_RBF_TUNED,1,0.4271410714851651,0.7894736842105263,0.9375,0.4166666666666667,0.6770833333333334,0.7142857142857143
baseline_female,mRMR,20,RandomForest,1,0.7083333333333334,0.875,0.875,0.8333333333333334,0.8541666666666667,0.8571428571428571
baseline_female,mRMR,20,RandomForest_TUNED,1,0.7855533190649869,0.9032258064516129,0.875,0.9166666666666666,0.8958333333333333,0.8928571428571429
baseline_female,mRMR,20,NeuralNetwork,1,0.7100469468046932,0.8823529411764706,0.9375,0.75,0.84375,0.8571428571428571
baseline_female,mRMR,20,NeuralNetwork_TUNED,1,0.570544330734548,0.8333333333333334,0.9375,0.5833333333333334,0.7604166666666667,0.7857142857142857
baseline_female,mRMR,20,NaiveBayes,1,0.5625,0.8125,0.8125,0.75,0.78125,0.7857142857142857
baseline_female,mRMR,20,LogisticRegression,1,0.5773502691896257,0.7999999999999999,0.75,0.8333333333333334,0.7916666666666667,0.7857142857142857
baseline_female,mRMR,20,AdaBoost,1,0.49613893835683387,0.7741935483870969,0.75,0.75,0.75,0.75
baseline_female,mRMR,20,AdaBoost_TUNED,1,0.48553038055886144,0.787878787878788,0.8125,0.6666666666666666,0.7395833333333333,0.75
baseline_female,mRMR,20,SVM_RBF,1,0.7100469468046932,0.8823529411764706,0.9375,0.75,0.84375,0.8571428571428571
baseline_female,mRMR,20,SVM_RBF_TUNED,1,0.5,0.8108108108108109,0.9375,0.5,0.71875,0.75
baseline_female,mRMR,30,RandomForest,1,0.5625,0.8125,0.8125,0.75,0.78125,0.7857142857142857
baseline_female,mRMR,30,RandomForest_TUNED,1,0.5625,0.8125,0.8125,0.75,0.78125,0.7857142857142857
baseline_female,mRMR,30,NeuralNetwork,1,0.7100469468046932,0.8823529411764706,0.9375,0.75,0.84375,0.8571428571428571
baseline_female,mRMR,30,NeuralNetwork_TUNED,1,0.6333004963811236,0.8484848484848485,0.875,0.75,0.8125,0.8214285714285714
baseline_female,mRMR,30,NaiveBayes,1,0.6615185844757785,0.8275862068965517,0.75,0.9166666666666666,0.8333333333333333,0.8214285714285714
baseline_female,mRMR,30,LogisticRegression,1,0.516811394121702,0.7586206896551724,0.6875,0.8333333333333334,0.7604166666666667,0.75
baseline_female,mRMR,30,AdaBoost,1,0.6408461287109104,0.8387096774193549,0.8125,0.8333333333333334,0.8229166666666667,0.8214285714285714
baseline_female,mRMR,30,AdaBoost_TUNED,1,0.6408461287109104,0.8387096774193549,0.8125,0.8333333333333334,0.8229166666666667,0.8214285714285714
baseline_female,mRMR,30,SVM_RBF,1,0.570544330734548,0.8333333333333334,0.9375,0.5833333333333334,0.7604166666666667,0.7857142857142857
baseline_female,mRMR,30,SVM_RBF_TUNED,1,0.3499482363378076,0.7692307692307693,0.9375,0.3333333333333333,0.6354166666666666,0.6785714285714286
baseline_female,mRMR,40,RandomForest,1,0.7216878364870323,0.8666666666666666,0.8125,0.9166666666666666,0.8645833333333333,0.8571428571428571
baseline_female,mRMR,40,RandomForest_TUNED,1,0.6615185844757785,0.8275862068965517,0.75,0.9166666666666666,0.8333333333333333,0.8214285714285714
baseline_female,mRMR,40,NeuralNetwork,1,0.6333004963811236,0.8484848484848485,0.875,0.75,0.8125,0.8214285714285714
baseline_female,mRMR,40,NeuralNetwork_TUNED,1,0.4856618642571827,0.7999999999999999,0.875,0.5833333333333334,0.7291666666666667,0.75
baseline_female,mRMR,40,NaiveBayes,1,0.6615185844757785,0.8275862068965517,0.75,0.9166666666666666,0.8333333333333333,0.8214285714285714
baseline_female,mRMR,40,LogisticRegression,1,0.7083333333333334,0.875,0.875,0.8333333333333334,0.8541666666666667,0.8571428571428571
baseline_female,mRMR,40,AdaBoost,1,0.7216878364870323,0.8666666666666666,0.8125,0.9166666666666666,0.8645833333333333,0.8571428571428571
baseline_female,mRMR,40,AdaBoost_TUNED,1,0.6408461287109104,0.8387096774193549,0.8125,0.8333333333333334,0.8229166666666667,0.8214285714285714
baseline_female,mRMR,40,SVM_RBF,1,0.5383819020581655,0.8205128205128205,1.0,0.4166666666666667,0.7083333333333334,0.75
baseline_female,mRMR,40,SVM_RBF_TUNED,1,0.3499482363378076,0.7692307692307693,0.9375,0.3333333333333333,0.6354166666666666,0.6785714285714286
baseline_female,mRMR,50,RandomForest,1,0.6615185844757785,0.8275862068965517,0.75,0.9166666666666666,0.8333333333333333,0.8214285714285714
baseline_female,mRMR,50,RandomForest_TUNED,1,0.6615185844757785,0.8275862068965517,0.75,0.9166666666666666,0.8333333333333333,0.8214285714285714
baseline_female,mRMR,50,NeuralNetwork,1,0.6401906392481045,0.8571428571428572,0.9375,0.6666666666666666,0.8020833333333333,0.8214285714285714
baseline_female,mRMR,50,NeuralNetwork_TUNED,1,0.4856618642571827,0.7999999999999999,0.875,0.5833333333333334,0.7291666666666667,0.75
baseline_female,mRMR,50,NaiveBayes,1,0.7216878364870323,0.8666666666666666,0.8125,0.9166666666666666,0.8645833333333333,0.8571428571428571
baseline_female,mRMR,50,LogisticRegression,1,0.7083333333333334,0.875,0.875,0.8333333333333334,0.8541666666666667,0.8571428571428571
baseline_female,mRMR,50,AdaBoost,1,0.5625,0.8125,0.8125,0.75,0.78125,0.7857142857142857
baseline_female,mRMR,50,AdaBoost_TUNED,1,0.49613893835683387,0.7741935483870969,0.75,0.75,0.75,0.75
baseline_female,mRMR,50,SVM_RBF,1,0.3333333333333333,0.7567567567567567,0.875,0.4166666666666667,0.6458333333333334,0.6785714285714286
baseline_female,mRMR,50,SVM_RBF_TUNED,1,0.3499482363378076,0.7692307692307693,0.9375,0.3333333333333333,0.6354166666666666,0.6785714285714286
baseline_female,mRMR,60,RandomForest,1,0.5625,0.8125,0.8125,0.75,0.78125,0.7857142857142857
baseline_female,mRMR,60,RandomForest_TUNED,1,0.5625,0.8125,0.8125,0.75,0.78125,0.7857142857142857
baseline_female,mRMR,60,NeuralNetwork,1,0.5,0.8108108108108109,0.9375,0.5,0.71875,0.75
baseline_female,mRMR,60,NeuralNetwork_TUNED,1,0.48553038055886144,0.787878787878788,0.8125,0.6666666666666666,0.7395833333333333,0.75
baseline_female,mRMR,60,NaiveBayes,1,0.7216878364870323,0.8666666666666666,0.8125,0.9166666666666666,0.8645833333333333,0.8571428571428571
baseline_female,mRMR,60,LogisticRegression,1,0.6408461287109104,0.8387096774193549,0.8125,0.8333333333333334,0.8229166666666667,0.8214285714285714
baseline_female,mRMR,60,AdaBoost,1,0.49613893835683387,0.7741935483870969,0.75,0.75,0.75,0.75
baseline_female,mRMR,60,AdaBoost_TUNED,1,0.5625,0.8125,0.8125,0.75,0.78125,0.7857142857142857
baseline_female,mRMR,60,SVM_RBF,1,0.4,0.7804878048780487,1.0,0.25,0.625,0.6785714285714286
baseline_female,mRMR,60,SVM_RBF_TUNED,1,0.4,0.7804878048780487,1.0,0.25,0.625,0.6785714285714286
baseline_female,mRMR,70,RandomForest,1,0.6408461287109104,0.8387096774193549,0.8125,0.8333333333333334,0.8229166666666667,0.8214285714285714
baseline_female,mRMR,70,RandomForest_TUNED,1,0.6408461287109104,0.8387096774193549,0.8125,0.8333333333333334,0.8229166666666667,0.8214285714285714
baseline_female,mRMR,70,NeuralNetwork,1,0.41079191812887456,0.7777777777777777,0.875,0.5,0.6875,0.7142857142857143
baseline_female,mRMR,70,NeuralNetwork_TUNED,1,0.570544330734548,0.8333333333333334,0.9375,0.5833333333333334,0.7604166666666667,0.7857142857142857
baseline_female,mRMR,70,NaiveBayes,1,0.7216878364870323,0.8666666666666666,0.8125,0.9166666666666666,0.8645833333333333,0.8571428571428571
baseline_female,mRMR,70,LogisticRegression,1,0.48553038055886144,0.787878787878788,0.8125,0.6666666666666666,0.7395833333333333,0.75
baseline_female,mRMR,70,AdaBoost,1,0.48553038055886144,0.787878787878788,0.8125,0.6666666666666666,0.7395833333333333,0.75
baseline_female,mRMR,70,AdaBoost_TUNED,1,0.49613893835683387,0.7741935483870969,0.75,0.75,0.75,0.75
baseline_female,mRMR,70,SVM_RBF,1,0.47140452079103173,0.8,1.0,0.3333333333333333,0.6666666666666666,0.7142857142857143
baseline_female,mRMR,70,SVM_RBF_TUNED,1,0.47140452079103173,0.8,1.0,0.3333333333333333,0.6666666666666666,0.7142857142857143
baseline_female,mRMR,80,RandomForest,1,0.7216878364870323,0.8666666666666666,0.8125,0.9166666666666666,0.8645833333333333,0.8571428571428571
baseline_female,mRMR,80,RandomForest_TUNED,1,0.7216878364870323,0.8666666666666666,0.8125,0.9166666666666666,0.8645833333333333,0.8571428571428571
baseline_female,mRMR,80,NeuralNetwork,1,0.6401906392481045,0.8571428571428572,0.9375,0.6666666666666666,0.8020833333333333,0.8214285714285714
baseline_female,mRMR,80,NeuralNetwork_TUNED,1,0.4271410714851651,0.7894736842105263,0.9375,0.4166666666666667,0.6770833333333334,0.7142857142857143
baseline_female,mRMR,80,NaiveBayes,1,0.6615185844757785,0.8275862068965517,0.75,0.9166666666666666,0.8333333333333333,0.8214285714285714
baseline_female,mRMR,80,LogisticRegression,1,0.49613893835683387,0.7741935483870969,0.75,0.75,0.75,0.75
baseline_female,mRMR,80,AdaBoost,1,0.6408461287109104,0.8387096774193549,0.8125,0.8333333333333334,0.8229166666666667,0.8214285714285714
baseline_female,mRMR,80,AdaBoost_TUNED,1,0.7216878364870323,0.8666666666666666,0.8125,0.9166666666666666,0.8645833333333333,0.8571428571428571
baseline_female,mRMR,80,SVM_RBF,1,0.4,0.7804878048780487,1.0,0.25,0.625,0.6785714285714286
baseline_female,mRMR,80,SVM_RBF_TUNED,1,0.32025630761017426,0.761904761904762,1.0,0.16666666666666666,0.5833333333333334,0.6428571428571429
