Dataset,Method,N_Features,Feature,MeanAbsSHAP,StdAbsSHAP
baseline_male,Boruta,100,std_delta_delta_log_energy (MFCC),0.013,0.013
baseline_male,Boruta,100,tqwt_TKEO_mean_dec_19 (TQWT),0.011,0.008
baseline_male,Boruta,100,std_6th_delta_delta (MFCC),0.010,0.008
baseline_male,Boruta,100,tqwt_stdValue_dec_19 (TQWT),0.010,0.007
baseline_male,Boruta,100,std_7th_delta_delta (MFCC),0.010,0.006
baseline_male,Boruta,100,std_delta_log_energy (MFCC),0.009,0.009
baseline_male,Boruta,100,std_6th_delta (MFCC),0.009,0.007
baseline_male,Boruta,100,GNE_NSR_SEO (Vocal Fold),0.008,0.007
baseline_male,Boruta,100,tqwt_entropy_log_dec_19 (TQWT),0.008,0.007
baseline_male,Boruta,100,tqwt_kurtosisValue_dec_18 (TQWT),0.008,0.006
baseline_male,Boruta,100,tqwt_entropy_shannon_dec_19 (TQWT),0.007,0.009
baseline_male,Boruta,100,mean_MFCC_5th_coef (MFCC),0.007,0.007
baseline_male,Boruta,100,tqwt_energy_dec_26 (TQWT),0.006,0.007
baseline_male,Boruta,100,tqwt_TKEO_std_dec_19 (TQWT),0.006,0.006
baseline_male,Boruta,100,std_9th_delta_delta (MFCC),0.006,0.005
baseline_male,Boruta,100,std_7th_delta (MFCC),0.006,0.004
baseline_male,Boruta,100,tqwt_kurtosisValue_dec_23 (TQWT),0.006,0.003
baseline_male,Boruta,100,tqwt_medianValue_dec_36 (TQWT),0.006,0.004
baseline_male,Boruta,100,tqwt_meanValue_dec_5 (TQWT),0.006,0.006
baseline_male,Boruta,100,b1 (Bandwidth),0.006,0.004
baseline_male,Boruta,100,tqwt_energy_dec_6 (TQWT),0.006,0.006
baseline_male,Boruta,100,tqwt_entropy_log_dec_27 (TQWT),0.005,0.008
baseline_male,Boruta,100,tqwt_energy_dec_19 (TQWT),0.005,0.004
baseline_male,Boruta,100,tqwt_TKEO_mean_dec_18 (TQWT),0.005,0.006
baseline_male,Boruta,100,std_4th_delta_delta (MFCC),0.005,0.005
baseline_male,Boruta,100,std_8th_delta_delta (MFCC),0.005,0.004
baseline_male,Boruta,100,tqwt_entropy_log_dec_35 (TQWT),0.005,0.006
baseline_male,Boruta,100,tqwt_kurtosisValue_dec_17 (TQWT),0.005,0.004
baseline_male,Boruta,100,std_4th_delta (MFCC),0.005,0.003
baseline_male,Boruta,100,tqwt_kurtosisValue_dec_34 (TQWT),0.005,0.005
baseline_male,Boruta,100,DFA (Baseline),0.005,0.004
baseline_male,Boruta,100,mean_MFCC_2nd_coef (MFCC),0.005,0.008
baseline_male,Boruta,100,tqwt_energy_dec_25 (TQWT),0.005,0.005
baseline_male,Boruta,100,tqwt_entropy_log_dec_1 (TQWT),0.005,0.004
baseline_male,Boruta,100,mean_delta_log_energy (MFCC),0.005,0.003
