Dataset,Method,N_Features,Feature,MeanAbsSHAP,StdAbsSHAP
baseline,Boruta,10,tqwt_TKEO_std_dec_12 (TQWT),0.07231372549019607,0.04673066938271173
baseline,Boruta,10,tqwt_energy_dec_26 (TQWT),0.04941503267973856,0.036506118397147576
baseline,Boruta,10,std_delta_delta_log_energy (MFCC),0.048480820105820104,0.046102209522841504
baseline,Boruta,10,tqwt_TKEO_mean_dec_12 (TQWT),0.04480337690631808,0.032147971738816915
baseline,Boruta,10,tqwt_entropy_log_dec_35 (TQWT),0.03718111111111111,0.0398331060464843
baseline,Boruta,10,std_6th_delta_delta (MFCC),0.03429188712522046,0.024162245350811972
baseline,Boruta,10,tqwt_energy_dec_27 (TQWT),0.033656862745098035,0.03348778490802424
baseline,Boruta,10,tqwt_TKEO_std_dec_11 (TQWT),0.033068888888888884,0.039500192028279334
baseline,Boruta,10,tqwt_entropy_shannon_dec_12 (TQWT),0.031054466230936814,0.03006499313418168
baseline,Boruta,10,tqwt_stdValue_dec_12 (TQWT),0.029184095860566455,0.023877077413360617
baseline,Boruta,10,std_delta_log_energy (MFCC),0.028860449735449736,0.028120295690679444
baseline,Boruta,10,std_8th_delta_delta (MFCC),0.028621111111111108,0.021083044350222638
baseline,Boruta,10,std_9th_delta_delta (MFCC),0.027588833883388342,0.02252609020947771
baseline,Boruta,10,std_11th_delta_delta (MFCC),0.027064270152505444,0.023801514800365846
baseline,Boruta,10,std_7th_delta_delta (MFCC),0.026811774461028195,0.015779382803858842
baseline,Boruta,10,tqwt_entropy_log_dec_34 (TQWT),0.023236666666666666,0.02641222480104788
baseline,Boruta,10,std_6th_delta (MFCC),0.02302925925925926,0.019133091102829295
baseline,Boruta,10,mean_MFCC_2nd_coef (MFCC),0.02263,0.035080209944553
baseline,Boruta,10,apq11Shimmer (Baseline),0.022246187363834425,0.015577974087452519
baseline,Boruta,10,std_8th_delta (MFCC),0.01722108843537415,0.012442931573530876
baseline,Boruta,10,std_10th_delta_delta (MFCC),0.015857298474945537,0.01348602832212693
baseline,Boruta,10,std_7th_delta (MFCC),0.015601437258153675,0.012832325892698648
baseline,Boruta,10,std_11th_delta (MFCC),0.01548474945533769,0.014067030420032873
baseline,Boruta,10,std_9th_delta (MFCC),0.011245,0.009580453641307605
baseline_male,Boruta,10,tqwt_energy_dec_26 (TQWT),0.04289999999999999,0.03589279949454425
baseline_male,Boruta,10,std_delta_delta_log_energy (MFCC),0.041438461538461535,0.04398419715596843
baseline_male,Boruta,10,tqwt_TKEO_std_dec_12 (TQWT),0.034741545893719805,0.06036343859608809
baseline_male,Boruta,10,tqwt_entropy_log_dec_35 (TQWT),0.03368055555555554,0.02644344290984908
baseline_male,Boruta,10,std_6th_delta_delta (MFCC),0.03186666666666666,0.023417793643423453
baseline_male,Boruta,10,tqwt_energy_dec_27 (TQWT),0.03184761904761906,0.03549613342887488
baseline_male,Boruta,10,tqwt_TKEO_std_dec_11 (TQWT),0.03058101851851852,0.043292315301982
baseline_male,Boruta,10,std_11th_delta_delta (MFCC),0.027197777777777776,0.015378719876017799
baseline_male,Boruta,10,std_8th_delta_delta (MFCC),0.026999999999999996,0.01737269767460155
baseline_male,Boruta,10,std_delta_log_energy (MFCC),0.026684615384615383,0.0259084273251791
baseline_male,Boruta,10,tqwt_entropy_shannon_dec_12 (TQWT),0.02646825396825397,0.026338881832268356
baseline_male,Boruta,10,std_9th_delta_delta (MFCC),0.025667714884696016,0.02141598896958793
baseline_male,Boruta,10,tqwt_stdValue_dec_12 (TQWT),0.02427142857142857,0.024170592708755653
baseline_male,Boruta,10,std_6th_delta (MFCC),0.023496031746031744,0.020911444892824427
baseline_male,Boruta,10,std_7th_delta_delta (MFCC),0.023076608187134497,0.016444049592948432
baseline_male,Boruta,10,tqwt_entropy_log_dec_34 (TQWT),0.022275462962962966,0.022185643677503485
baseline_male,Boruta,10,tqwt_TKEO_mean_dec_12 (TQWT),0.022274904214559382,0.03259093206326713
baseline_male,Boruta,10,apq11Shimmer (Baseline),0.02161333333333333,0.014489541635842616
baseline_male,Boruta,10,std_7th_delta (MFCC),0.01615087719298246,0.013705295952244931
baseline_male,Boruta,10,std_8th_delta (MFCC),0.013739130434782608,0.009846181298393868
baseline_male,Boruta,10,std_9th_delta (MFCC),0.013230324074074075,0.00899453767865529
baseline_male,Boruta,10,std_11th_delta (MFCC),0.011988888888888887,0.009739718276834916
baseline_male,Boruta,10,mean_MFCC_2nd_coef (MFCC),0.011363425925925924,0.025148608799711872
